#l(y)	l(m)	AH	AM	AS	DH	DM	DS	Name
8.58	4.10	4.00	53.00	7.20	-69.00	2.00	36.00	KMHK208
8.40	4.02	4.00	54.00	50.00	-69.00	14.00	17.00	NGC1756
8.86	4.28	4.00	56.00	38.10	-68.00	9.00	53.00	SL119
8.79	4.16	4.00	59.00	21.40	-68.00	50.00	36.00	BRHT61a
8.45	4.31	5.00	0.00	35.60	-69.00	36.00	50.00	NGC1801
8.40	4.18	5.00	4.00	21.00	-69.00	23.00	17.00	NGC1828
8.60	4.14	5.00	4.00	39.00	-69.00	20.00	27.00	NGC1830
8.70	4.31	5.00	5.00	12.40	-68.00	33.00	11.00	SL212
8.95	4.04	5.00	5.00	33.30	-69.00	6.00	59.00	HS112
8.70	4.45	5.00	5.00	35.70	-68.00	37.00	42.00	NGC1836
8.50	4.81	5.00	6.00	17.40	-64.00	55.00	11.00	NGC1831
9.00	4.25	5.00	7.00	51.00	-69.00	26.00	11.00	SL250
8.47	5.25	5.00	9.00	31.50	-69.00	7.00	46.00	NGC1856
8.90	4.32	5.00	9.00	58.00	-69.00	21.00	11.00	SL276
8.79	4.16	5.00	10.00	21.90	-70.00	46.00	44.00	NGC1861
8.85	4.15	5.00	10.00	56.70	-69.00	33.00	31.00	SL296
8.40	4.21	5.00	12.00	1.00	-69.00	12.00	1.00	SL304
8.80	4.44	5.00	12.00	25.00	-68.00	46.00	23.00	NGC1865
8.54	4.01	5.00	12.00	50.70	-70.00	28.00	20.00	NGC1878
8.70	4.93	5.00	13.00	11.00	-69.00	18.00	43.00	NGC1872
8.30	4.63	5.00	13.00	38.90	-65.00	27.00	52.00	NGC1866
8.74	4.53	5.00	14.00	36.20	-63.00	57.00	14.00	NGC1868
8.30	4.37	5.00	15.00	6.00	-68.00	58.00	45.00	NGC1885
8.70	4.12	5.00	17.00	34.00	-69.00	30.00	51.00	SL358
8.50	4.23	5.00	19.00	26.30	-69.00	32.00	25.00	SL385
9.00	4.49	5.00	19.00	33.70	-69.00	32.00	32.00	SL387
8.50	4.19	5.00	20.00	23.60	-69.00	35.00	6.00	SL402
8.75	4.10	5.00	21.00	25.40	-69.00	56.00	23.00	NGC1938
8.40	4.10	5.00	21.00	49.50	-69.00	39.00	7.00	SL418
8.55	4.17	5.00	22.00	3.40	-69.00	15.00	18.00	SL419
8.40	4.03	5.00	22.00	13.30	-69.00	30.00	49.00	SL423
8.35	4.38	5.00	22.00	29.50	-70.00	9.00	15.00	NGC1943
8.50	4.38	5.00	25.00	1.90	-69.00	26.00	7.00	SL453
8.30	4.11	5.00	31.00	7.00	-71.00	57.00	45.00	KMHK1022
8.40	4.20	5.00	36.00	34.00	-70.00	40.00	18.00	NGC2056
8.30	4.02	5.00	38.00	30.00	-67.00	19.00	57.00	SL628
8.30	4.15	5.00	53.00	49.00	-67.00	23.00	9.00	HS445
8.98	5.03	6.00	8.00	34.80	-73.00	50.00	12.00	NGC2209
8.82	4.35	6.00	25.00	49.80	-68.00	55.00	13.00	NGC2249
